S. No	Notes	Self-assement == 257	Evidence
1	workload is spread over the whole team (one team member is often Xtimes more productive than the others...	3	All contributors have made equal contributions -- https://github.com/nainisha-b/MyExpenseBot/graphs/contributors
2	but nevertheless here is a track record that everyone is contributing a lot)	3	https://github.com/nainisha-b/MyExpenseBot/graphs/contributors
3	Number of commits	3	https://github.com/nainisha-b/MyExpenseBot/graphs/commit-activity
4	Number of commits: by different people	3	https://github.com/nainisha-b/MyExpenseBot/graphs/commit-activity
5	Issues reports: mentioned in the issues	 3	 https://github.com/nainisha-b/MyExpenseBot/issues
6	issues are being closed	3	https://github.com/nainisha-b/MyExpenseBot/issues?q=is%3Aissue+is%3Aclosed
7	DOI badge: exists	3	https://github.com/nainisha-b/MyExpenseBot/blob/Documentation/README.md
8	Docs: doco generated  format not ugly	3	https://github.com/nainisha-b/MyExpenseBot/tree/main/docs
9	Docs: what: point descriptions of each class/function (in isolation)	3	https://github.com/nainisha-b/MyExpenseBot/tree/main/docs
10	Docs: how: for common use cases X Y Z mini-tutorials showing worked examples on how to do X Y Z	2	video depicts the examples used.
11	Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing	3	https://github.com/nainisha-b/MyExpenseBot/tree/main/docs
12	Docs: short video, animated hosted on your repo. That convinces people why they want to work on your code.	3	https://github.com/nainisha-b/MyExpenseBot/blob/main/CONTRIBUTING.md
13	Use of version control tools	3	Git is used as a version control tool
14	Use of style checkers	2	Flake 8 - https://github.com/nainisha-b/MyExpenseBot/blob/main/.travis.yml
15	Use of code formatters.	2	 python visual studio code
16	Use of syntax checkers.	3	
17	Use of code coverage	3	https://github.com/nainisha-b/MyExpenseBot/blob/Documentation/README.md#code-coverage
18	other automated analysis tools	1	https://github.com/nainisha-b/MyExpenseBot/blob/main/.travis.yml
19	test cases exist	3	https://github.com/nainisha-b/MyExpenseBot/tree/main/test
20	test cases are routinely executed	3	https://github.com/nainisha-b/MyExpenseBot/tree/main/test#testing
21	the files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up	2	https://github.com/nainisha-b/MyExpenseBot/blob/main/CONTRIBUTING.md
13	Use of version control tools	3	Git is used as a version control tool.
22	issues are discussed before they are closed	3	https://github.com/nainisha-b/MyExpenseBot/issues?q=is%3Aissue+is%3Aclosed.
23	Chat channel: exists	0	
24	test cases:.a large proportion of the issues related to handling failing cases.	3	if a test case fails, open an issue and fix it
25	evidence that the whole team is using the same tools: everyone can get to all tools and files	3	Everyone is commiting to the sam erepo
26	evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)	3	visual studio code python
27	evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)	3	 
